LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
7,1,1,3,5,1,3,3,5,4,4,1000,53,4,7,F,18 to 25,3.47587554,0.7878787879,0.618968885,,,,
7,1,1,3,5,3,4,5,5,5,5,1000,52,3,8,M,12 to 17,4.61674535,0.7575757576,0.9041863375,,,,
7,1,1,3,5,1,5,5,5,5,5,998,60,5,9,F,18 to 25,4.41731204,1,0.85432801,,,,
7,1,1,3,5,1,3,2,3,5,2,1000,55,4,10,F,12 to 17,3.44959623,0.8484848485,0.6123990575,,,,
7,1,1,3,5,2,4,4,2,3,3,1000,56,2,11,M,18 to 25,2.9414365,0.8787878788,0.485359125,,,,
7,1,1,3,5,1,2,3,2,2,2,1000,55,4,12,M,18 to 25,1.97313166,0.8484848485,0.243282915,,,,
7,1,1,3,5,1,5,5,4,5,4,1000,50,5,13,M,18 to 25,4.23361559,0.696969697,0.8084038975,,,,
7,1,1,3,5,1,3,5,5,5,5,1000,50,5,14,F,18 to 25,4.2334907,0.696969697,0.808372675,,,,
7,1,1,3,5,1,4,5,5,5,4,1000,46,3,15,F,18 to 25,4.26531075,0.5757575758,0.8163276875,,,,
7,1,1,3,5,2,3,3,2,4,3,894,51,4,16,F,18 to 25,3.19063942,0.7272727273,0.547659855,,,,
7,1,1,3,5,1,5,5,4,4,4,979,52,3,17,M,18 to 25,3.77369835,0.7575757576,0.6934245875,,,,
7,1,1,3,5,1,4,4,3,3,3,1000,52,3,18,F,18 to 25,2.91937034,0.7575757576,0.479842585,,,,
7,1,1,3,5,5,5,5,5,5,5,155,52,2,19,F,18 to 25,5,0.7575757576,1,,,,
7,1,1,3,5,1,4,4,4,3,4,1000,57,1,20,F,18 to 25,3.10306679,0.9090909091,0.5257666975,,,,
7,1,1,3,5,3,4,5,4,5,4,1000,54,3,21,F,18 to 25,4.4330489,0.8181818182,0.858262225,,,,
7,1,1,3,5,1,3,4,3,3,2,1000,51,3,22,M,12 to 17,2.76736905,0.7272727273,0.4418422625,,,,
7,1,1,3,5,5,4,4,3,3,4,588,56,4,23,F,12 to 17,3.56214892,0.8787878788,0.64053723,,,,
7,1,1,3,5,1,2,1,3,4,2,1000,50,4,24,F,18 to 25,2.77896467,0.696969697,0.4447411675,,,,
8,1,2,2,5,1,5,5,4,4,3,1000,47,5,1,F,18 to 25,3.71360773,0.6060606061,0.6784019325,,,,
8,1,2,2,5,1,5,4,5,4,4,464,45,5,2,F,18 to 25,3.77850053,0.5454545455,0.6946251325,,,,
8,1,2,2,5,1,3,3,4,5,4,1000,42,3,3,M,18 to 25,3.81218695,0.4545454545,0.7030467375,,,,
8,1,2,2,5,2,4,4,4,4,4,1000,43,3,4,F,12 to 17,3.70865602,0.4848484848,0.677164005,,,,
8,1,2,2,5,1,5,5,4,4,4,1000,42,4,5,M,18 to 25,3.77369835,0.4545454545,0.6934245875,,,,
8,1,2,2,5,1,4,3,3,3,3,1000,44,4,6,F,18 to 25,2.80056669,0.5151515152,0.4501416725,,,,
8,1,2,2,5,1,3,3,5,4,4,1000,35,4,7,F,18 to 25,3.47587554,0.2424242424,0.618968885,,,,
8,1,2,2,5,3,4,5,5,5,5,1000,43,3,8,M,12 to 17,4.61674535,0.4848484848,0.9041863375,,,,
